YEAR,WEEK,RK,TEAM,RECORD,PTS,PREV,TRENDING,GAMES
2004,16,15,Southern Illinois,24-2,736,16,1,"  @ Northern Iowa L 68-52,  vs Evansville W 93-67,  vs Missouri State L 80-74"
2004,16,16,NC State,18-7,611,14,2,"  vs Maryland L 70-69,  @ Wake Forest W 81-70"
2004,16,17,Wisconsin,19-6,556,22,5,"  @ Michigan State W 68-64,  @ Indiana W 70-52"
2004,16,18,Illinois,20-5,520,23,5,"  @ Purdue W 81-79, @ Ohio State Mar 6,  @ OSU W 64-63"
2004,16,19,Georgia Tech,20-8,429,18,1,"  @ Duke W 76-68,  vs FSU W 63-60"
2004,16,20,Memphis,20-5,382,19,1,"  vs TCU W 83-56,  @ Cincinnati L 83-79"
2004,16,21,Kansas,18-7,371,20,1,"  vs Nebraska W 78-67,  @ Missouri W 84-82"
2004,16,22,Arizona,18-8,355,17,5,  vs Arizona State W 106-81
2004,16,23,Utah State,24-2,244,24,1,  @ Idaho W 64-60
2004,16,24,Syracuse,19-6,238,NR,2,"  @ West Virginia W 65-52,  vs UConn W 67-56"
2004,16,25,Louisville,18-7,237,21,4,"  @ Saint Louis W 75-48,  @ Marquette L 81-80"
2004,17,1,Saint Joseph's (67),27-0,"1,795",2,1,  vs Xavier L 87-67
2004,17,2,Stanford (2),26-1,"1,648",1,1,"  vs Washington St W 68-47,  vs Oregon W 70-63,  vs Washington W 77-66"
2004,17,3,Gonzaga (1),25-2,"1,604",4,1,"  vs Santa Clara W 63-62,  vs Saint Mary's W 84-71"
2004,17,4,Mississippi State,25-2,"1,557",5,1,  vs Vanderbilt L 74-70
2004,17,5,Duke (2),25-4,"1,519",3,2,"  vs UVA W 84-74,  vs Georgia Tech W 85-71,  vs Maryland L 95-87"
2004,17,6,Pittsburgh,27-3,"1,451",6,--,"  vs Virginia Tech W 74-61,  vs Boston College W 62-53,  vs UConn L 61-58"
2004,17,7,Oklahoma State,24-3,"1,410",8,1,"  vs Iowa State W 83-75,  vs Texas Tech W 82-77,  vs Texas W 65-49"
2004,17,8,Kentucky,23-4,"1,370",9,1,"  vs Georgia W 69-60,  vs South Carolina W 78-63,  vs Florida W 89-73"
2004,17,9,Connecticut,24-6,"1,158",7,2,"  vs Notre Dame W 66-58,  vs Villanova W 84-67,  @ Pitt W 61-58"
2004,17,10,Wisconsin,21-6,927,17,7,"  vs Minnesota W 66-52,  vs Michigan State W 68-66,  @ Illinois W 70-53"
2004,17,11,Texas,21-6,914,10,1,"  vs Oklahoma W 66-63,  vs Kansas W 64-60,  @ Oklahoma State L 65-49"
2004,17,12,Illinois,22-5,898,18,6,"  vs Indiana W 71-59,  vs Michigan W 74-60,  vs Wisconsin L 70-53"
2004,17,13,Cincinnati,21-6,844,13,--,"  vs Louisville W 64-62,  vs Saint Louis W 66-46,  @ DePaul W 55-50"
2004,17,14,Georgia Tech,22-8,817,19,5,"  vs UNC W 83-82,  @ Duke L 85-71"
2004,17,15,Wake Forest,19-8,672,11,4,  vs Maryland L 87-86
2004,17,16,North Carolina,18-9,665,14,2,  @ Georgia Tech L 83-82
2004,17,17,NC State,19-8,654,16,1,"  vs FSU W 78-71,  vs Maryland L 85-82"
2004,17,18,Kansas,20-7,607,21,3,"  vs Missouri W 94-69,  @ Texas L 64-60"
2004,17,19,Syracuse,21-6,593,24,5,  vs Boston College L 57-54
2004,17,20,Providence,20-7,521,12,8,  vs Villanova L 69-66
2004,17,21,Arizona,19-8,400,22,1,"  vs USC W 79-76,  @ Washington L 90-85"
2004,17,22,Utah State,25-2,322,23,1,  vs CS Northridge L 63-62
2004,17,23,Memphis,21-6,310,20,3,  vs Saint Louis L 72-61
2004,17,24,Southern Illinois,25-4,264,15,9, No Games Scheduled
2004,17,25,Air Force,22-5,73,NR,1,  vs Colorado State L 60-48
2003,1,1,Arizona (50),0-0,"1,773",7,6, No games scheduled.
2003,1,2,Kansas (14),0-0,"1,715",2,--, No games scheduled.
2003,1,3,Oklahoma (6),0-0,"1,640",3,--,  vs Alabama L 68-62
2003,1,4,Texas,0-0,"1,422",NR,22,  @ Georgia W 77-71
2003,1,5,Pittsburgh (1),0-0,"1,404",9,4, No games scheduled.
2003,1,6,Duke,0-0,"1,394",1,5, No games scheduled.
2003,1,7,Florida,0-0,"1,298",15,8, No games scheduled.
2003,1,8,Alabama,0-0,"1,295",8,--,  @ Oklahoma W 68-62
2003,1,9,Michigan State,0-0,"1,117",NR,17, No games scheduled.
2003,1,10,Xavier,0-0,"1,016",22,12, No games scheduled.
2003,1,11,Oregon,0-0,995,11,--, No games scheduled.
2003,1,12,Mississippi State (1),0-0,800,17,5, No games scheduled.
2003,1,13,Maryland,0-0,789,4,9, No games scheduled.
2003,1,14,UCLA,0-0,747,NR,12, No games scheduled.
2003,1,15,Connecticut,0-0,722,10,5, No games scheduled.
2003,1,16,Georgia,0-0,703,23,7,  vs Texas L 77-71
2003,1,17,Kentucky,0-0,627,16,1, No games scheduled.
2003,1,18,Marquette,0-0,509,12,6,  @ Villanova W 73-61
2003,1,19,Missouri,0-0,506,NR,7, No games scheduled.
2003,1,20,Western Kentucky,0-0,480,19,1, No games scheduled.
2003,1,21,Indiana,0-0,415,NR,5, No games scheduled.
2003,1,22,Gonzaga,0-0,381,6,16, No games scheduled.
2003,1,23,Cincinnati,0-0,303,5,18, No games scheduled.
2003,1,24,Minnesota,0-0,183,NR,2, No games scheduled.
2003,1,25,Tulsa,0-0,146,NR,1, No games scheduled.
2003,2,1,Arizona (58),0-0,"1,736",1,--,  vs W Kentucky W 107-68
2003,2,2,Kansas (10),0-0,"1,679",2,--,"  vs Holy Cross W 81-57,  vs UNCG W 105-66"
2003,2,3,Texas,1-0,"1,493",4,1,  vs SF Austin W 81-55
2003,2,4,Alabama,1-0,"1,454",8,4,  vs Alabama State W 82-56
2003,2,5,Pittsburgh (1),0-0,"1,419",5,--,  vs Duquesne W 82-67
2003,2,6,Duke,0-0,"1,384",6,--,  vs Army W 101-53
2003,2,7,Oklahoma,0-1,"1,301",3,4,"  vs UC Irvine W 87-65,  vs Princeton W 82-63"
2003,2,8,Florida,0-0,"1,209",7,1,"  vs LA Tech W 76-55,  vs E Illinois W 99-65,  vs Coast Carolina W 88-45"
2003,2,9,Michigan State,0-0,"1,116",9,--,  vs UNC Asheville W 66-52
2003,2,10,Oregon,0-0,"1,024",11,1,  vs Grambling St W 97-52
2003,2,11,Xavier,0-0,"1,020",10,1,"  vs St Peter's W 87-48,  @ Stanford L 63-62,  vs Florida A&M; W 93-64"
2003,2,12,Maryland,0-0,790,13,1,  vs Miami (OH) W 64-49
2003,2,13,Mississippi State (1),0-0,790,12,--,  vs LA-Lafayette L 79-76
2003,2,14,Connecticut,0-0,735,15,1,  vs Quinnipiac W 91-72
2003,2,15,UCLA,0-0,715,14,1, No games scheduled.
2003,2,16,Marquette,1-0,630,18,2,"  vs Coppin State W 64-46,  vs UTSA W 80-68"
2003,2,17,Kentucky,0-0,627,17,--, No games scheduled.
2003,2,18,Georgia,0-1,575,16,2,  vs Belmont W 87-71
2003,2,19,Western Kentucky,0-0,449,20,1,  @ Arizona L 107-68
2003,2,20,Missouri,0-0,437,19,1,  vs American U W 72-57
2003,2,21,Gonzaga,0-0,374,22,1,  vs Hofstra W 69-61
2003,2,22,Indiana,0-0,368,21,1, No games scheduled.
2003,2,23,Cincinnati,0-0,277,23,--,  vs Tenn Tech W 54-48
2003,2,24,Minnesota,0-0,165,24,--,  vs UNC Asheville W 87-81
2003,2,25,Tulsa,0-0,154,25,--,"  @ New Mexico St W 71-61,  @ UT Rio Grande W 80-50"
2003,3,1,Arizona (60),1-0,"1,740",1,--,  vs N Arizona W 101-66
2003,3,2,Kansas (9),2-0,"1,679",2,--,"  vs UNC L 67-56,  vs Florida L 83-73"
2003,3,3,Texas,2-0,"1,506",3,--,"  vs UT-Arlington W 76-45,  vs Seton Hall W 78-61"
2003,3,4,Alabama,2-0,"1,493",4,--,"  vs Mid Tennessee W 80-65,  @ OSU W 54-48"
2003,3,5,Pittsburgh (1),1-0,"1,429",5,--,"  vs St Francis (PA) W 69-46,  vs AR-Pine Bluff W 89-49"
2003,3,6,Duke,1-0,"1,405",6,--,"  vs Davidson W 95-80,  vs UCLA W 84-73"
2003,3,7,Florida,3-0,"1,297",8,1,"  @ Stanford L 69-65,  @ Kansas W 83-73"
2003,3,8,Oklahoma,2-1,"1,294",7,1,  vs PV A&M; W 75-63
2003,3,9,Michigan State,1-0,"1,156",9,--,"  @ Montana W 80-60,  vs Villanova L 81-73,  vs Oklahoma State L 64-61"
2003,3,10,Oregon,1-0,"1,066",10,--,"  vs CS Northridge W 86-77,  vs Pacific W 88-69"
2003,3,11,Maryland,1-0,915,12,1,"  vs The Citadel W 97-49,  vs Duquesne W 89-39"
2003,3,12,Connecticut,1-0,844,14,2,"  vs G Washington W 67-55,  @ Vanderbilt W 76-70"
2003,3,13,Marquette,3-0,776,16,3,  vs E Illinois W 97-74
2003,3,14,UCLA,0-0,759,15,1,"  vs San Diego L 86-81,  @ Duke L 84-73"
2003,3,15,Kentucky,0-0,670,17,2,"  vs Arizona State W 82-65,  vs UVA L 75-61,  @ Gonzaga W 80-72"
2003,3,16,Xavier,2-1,643,11,5, No games scheduled.
2003,3,17,Georgia,1-1,606,18,1,"  @ Georgia Tech L 83-77,  @ Minnesota L 72-69"
2003,3,18,Missouri,1-0,506,20,2,  vs Austin Peay W 81-46
2003,3,19,Indiana,0-0,463,22,3,"  vs UMass W 84-71,  @ Gonzaga W 76-75,  vs UVA W 70-63,  vs North Texas W 84-58"
2003,3,20,Gonzaga,1-0,454,21,1,"  vs Utah W 71-52,  vs Indiana L 76-75,  vs Kentucky L 80-72"
2003,3,21,Cincinnati,1-0,325,23,2,"  vs Florida A&M; W 80-53,  @ Dayton L 75-69"
2003,3,22,Tulsa,2-0,265,25,3,  @ Arkansas W 61-60
2003,3,23,Mississippi State,0-1,233,12,11,"  vs McNeese State W 81-65,  vs Jacksonville W 100-65"
2003,3,24,Minnesota,1-0,198,24,--,  vs Georgia W 72-69
2003,3,25,Wisconsin,3-0,97,NR,1,  @ Green Bay W 69-52
2003,4,1,Arizona (71),2-0,"1,799",1,--,"  vs Saint Louis W 91-58,  @ San Diego State W 89-81"
2003,4,2,Texas,4-0,"1,650",3,1,"  @ G Washington W 100-92,  vs Notre Dame L 98-92"
2003,4,3,Alabama,4-0,"1,620",4,1,"  vs UNCG W 89-61,  vs St Bonaventure W 77-68"
2003,4,4,Duke,3-0,"1,550",6,2,"  vs OSU W 91-76,  vs Michigan W 81-59"
2003,4,5,Pittsburgh (1),3-0,"1,543",5,--,"  vs Norfolk State W 96-51,  @ Penn State W 82-60"
2003,4,6,Oklahoma,3-1,"1,321",8,2,  vs Hartford W 92-52
2003,4,7,Oregon,3-0,"1,227",10,3,"  vs Portland W 96-66,  vs Kansas W 84-78"
2003,4,8,Florida,4-1,"1,147",7,1,"  @ West Virginia L 68-66,  @ FSU W 58-57,  vs USF W 68-52"
2003,4,9,Maryland,3-0,"1,113",11,2,"  @ Indiana L 80-74,  vs Notre Dame L 79-67,  @ G Washington W 93-82"
2003,4,10,Indiana,4-0,"1,044",19,9,"  vs Maryland W 80-74,  vs UIC W 91-62"
2003,4,11,Connecticut,3-0,"1,001",12,1,"  vs Sacred Heart W 116-78,  vs Wagner W 97-85"
2003,4,12,North Carolina,5-0,997,NR,14,"  @ Illinois L 92-65,  vs Kentucky L 98-81"
2003,4,13,Marquette,4-0,958,13,--,"  @ Notre Dame L 92-71,  vs Appalachian St W 101-78"
2003,4,14,Kansas,2-2,949,2,12,"  vs CMizzou W 97-70,  @ Oregon L 84-78"
2003,4,15,Missouri,2-0,677,18,3,"  vs Sacramento St W 98-60,  @ USC W 78-72"
2003,4,16,Xavier,2-1,630,16,--,"  vs Purdue W 74-59,  @ Cincinnati W 50-44"
2003,4,17,Stanford,4-1,477,NR,9, No games scheduled.
2003,4,18,Kentucky,2-1,471,15,3,"  vs High Point W 84-64,  @ UNC W 98-81"
2003,4,19,Tulsa,3-0,468,22,3,  vs Wichita State W 80-69
2003,4,20,Minnesota,2-0,433,24,4,"  vs Georgia Tech W 64-63,  vs Bethune-Cookman W 79-52,  @ Nebraska L 80-60"
2003,4,21,Michigan State,2-2,345,9,12,"  vs UVA W 82-75,  vs Cleveland State W 79-47"
2003,4,22,Virginia,3-1,312,NR,4,  @ Michigan State L 82-75
2003,4,23,Wisconsin,4-0,268,25,2,"  vs Wake Forest L 90-80,  vs UNLV W 91-74"
2003,4,24,Mississippi State,2-1,206,23,1,"  vs Alabama A&M; W 100-58,  vs Jackson State W 71-56,  vs LA Tech W 78-38"
2003,4,25,Illinois,3-0,170,NR,1,"  vs UNC W 92-65,  @ Arkansas W 62-58"
2003,5,1,Arizona (70),4-0,"1,774",1,--,  vs Texas W 73-70
2003,5,2,Alabama,6-0,"1,637",3,1,  vs Bowling Green W 72-63
2003,5,3,Duke,5-0,"1,594",4,1, No games scheduled.
2003,5,4,Pittsburgh (1),5-0,"1,588",5,1,  vs SE Louisiana W 89-55
2003,5,5,Oregon,5-0,"1,432",7,2,  @ Pepperdine W 105-90
2003,5,6,Oklahoma,4-1,"1,358",6,--,  vs Coppin State W 69-47
2003,5,7,Indiana,6-0,"1,356",10,3,"  vs Vanderbilt W 73-56,  vs Purdue W 66-63"
2003,5,8,Texas,5-1,"1,278",2,6,  @ Arizona L 73-70
2003,5,9,Connecticut,5-0,"1,144",11,2,  vs UMass W 59-48
2003,5,10,Notre Dame,8-1,943,NR,16,  vs DePaul W 102-71
2003,5,11,Missouri,4-0,906,15,4,"  vs Green Bay W 88-67,  vs Memphis W 93-78"
2003,5,12,Kentucky,4-1,840,18,6,"  @ Tulane W 76-60,  vs Michigan State L 71-67"
2003,5,13,Xavier,4-1,811,16,3,"  vs Miami (OH) W 68-58,  vs Miss St L 71-61"
2003,5,14,Florida,6-2,750,8,6,  @ Maryland W 69-64
2003,5,15,Illinois,5-0,692,25,10,"  vs E Illinois W 80-68,  vs Temple W 70-54"
2003,5,16,Marquette,5-1,669,13,3,  vs Wisconsin W 63-54
2003,5,17,Tulsa,4-0,602,19,2,"  vs Kansas L 89-80,  @ Missouri State W 62-46"
2003,5,18,Maryland,4-2,601,9,9,  vs Florida L 69-64
2003,5,19,Stanford,4-1,561,17,2,  vs Saint Mary's W 76-58
2003,5,20,Kansas,3-3,407,14,6,"  @ Tulsa W 89-80,  vs Emporia St W 113-61"
2003,5,21,Michigan State,4-2,361,21,--,  @ Kentucky W 71-67
2003,5,22,North Carolina,5-2,349,12,10, No games scheduled.
2003,5,23,Creighton,6-0,277,NR,3,  vs Tenn Tech W 101-72
2003,5,24,Mississippi State,5-1,235,24,--,  @ Xavier W 71-61
2003,5,25,Charleston,6-0,152,NR,1,"  @ UCF L 82-64,  @ Stetson W 66-64"
2003,6,1,Arizona (69),5-0,"1,749",1,--,  @ LSU L 66-65
2003,6,2,Alabama,7-0,"1,620",2,--,  vs Providence W 69-61
2003,6,3,Duke,5-0,"1,566",3,--,  @ NC A&T; W 91-57
2003,6,4,Pittsburgh (1),6-0,"1,565",4,--,"  vs OSU W 69-49,  @ URI W 87-71"
2003,6,5,Oregon,6-0,"1,435",5,--,"  @ Cincinnati L 77-52,  vs Florida A&M; W 107-66,  vs Minnesota W 90-81"
2003,6,6,Indiana,8-0,"1,392",7,1,  @ Kentucky L 70-64
2003,6,7,Oklahoma,5-1,"1,326",6,1,  vs Georgia State W 89-62
2003,6,8,Connecticut,6-0,"1,148",9,1,  vs UNC Asheville W 117-67
2003,6,9,Notre Dame,9-1,"1,130",10,1,  vs Canisius W 93-75
2003,6,10,Texas,5-2,"1,114",8,2,"  vs McNeese State W 97-59,  vs Princeton W 57-54"
2003,6,11,Missouri,6-0,"1,026",11,--,  vs Illinois L 85-70
2003,6,12,Illinois,7-0,930,15,3,  @ Missouri W 85-70
2003,6,13,Florida,7-2,866,14,1,  @ Miami W 94-93
2003,6,14,Marquette,6-1,771,16,2,  vs Elon W 89-57
2003,6,15,Michigan State,5-2,639,21,6,"  vs Loyola (CHI) W 80-54,  vs USF W 65-56"
2003,6,16,Mississippi State,6-1,625,24,8,  vs Georgia State W 78-54
2003,6,17,Stanford,5-1,589,19,2,"  vs Montana L 70-68,  vs Richmond L 83-69,  vs UC Irvine W 84-57,  @ UNLV W 77-66"
2003,6,18,Kentucky,5-2,525,12,6,  vs Indiana W 70-64
2003,6,19,Kansas,5-3,518,20,1,  vs UCLA W 87-70
2003,6,20,Creighton,7-0,476,23,3,"  vs Delaware State W 68-48,  @ Nebraska W 81-73"
2003,6,21,Xavier,5-2,343,13,8,  vs Ball State W 87-58
2003,6,22,Tulsa,5-1,337,17,5,  vs Oral Roberts W 90-80
2003,6,23,North Carolina,5-2,299,22,1,"  vs Vermont W 80-54,  @ FSU W 69-48"
2003,6,24,Maryland,4-3,248,18,6, No games scheduled.
2003,6,25,Minnesota,6-1,103,NR,1,  @ Oregon L 90-81
2003,7,1,Alabama (35),8-0,"1,718",2,1,  vs Morehead State W 82-64
2003,7,2,Pittsburgh (14),8-0,"1,673",4,2,  vs George Mason W 65-41
2003,7,3,Duke (16),6-0,"1,657",3,--,  vs Dayton W 85-74
2003,7,4,Arizona (5),5-1,"1,551",1,3,  vs Davidson W 95-69
2003,7,5,Oklahoma,6-1,"1,406",7,2,  @ Miss St L 54-45
2003,7,6,Connecticut,7-0,"1,299",8,2,  vs Cent Conn St W 93-65
2003,7,7,Illinois (1),8-0,"1,279",12,5,  @ Memphis L 77-74
2003,7,8,Notre Dame,10-1,"1,250",9,1, No games scheduled.
2003,7,9,Texas,7-2,"1,135",10,1, No games scheduled.
2003,7,10,Indiana,8-1,"1,113",6,4,  @ Temple L 71-64
2003,7,11,Oregon,8-1,"1,029",5,6,  vs UC Riverside W 108-67
2003,7,12,Florida,8-2,917,13,1,"  vs Charleston So W 74-62,  vs Bethune-Cookman W 99-64"
2003,7,13,Marquette,7-1,822,14,1,  vs Grambling St W 105-74
2003,7,14,Kentucky,6-2,806,18,4,  @ Louisville L 81-63
2003,7,15,Michigan State,7-2,761,15,--,  vs Jacksonville St W 76-52
2003,7,16,Mississippi State,7-1,756,16,--,  vs Oklahoma W 54-45
2003,7,17,Missouri,6-1,726,11,6, No games scheduled.
2003,7,18,Creighton,9-0,614,20,2,  vs SE Missouri St W 93-70
2003,7,19,Kansas,6-3,585,19,--,  @ Cal W 80-67
2003,7,20,Tulsa,6-1,334,22,2,"  vs TCU W 78-65,  vs Iowa L 67-63"
2003,7,21,Xavier,6-2,314,21,--,"  @ Siena W 96-88,  vs E Kentucky W 84-60"
2003,7,22,North Carolina,7-2,296,23,1,"  @ Iona L 65-56,  @ St John's W 63-59"
2003,7,23,Maryland,4-3,212,24,1,"  vs UMBC W 101-60,  vs Georgia Tech W 84-77"
2003,7,24,LSU,7-1,173,NR,2,  @ Tulane W 74-62
2003,7,25,Wake Forest,6-0,87,NR,1,  vs NC A&T; W 104-64
2003,8,1,Alabama (35),9-0,"1,720",1,--,"  @ Utah L 51-49,  vs Xavier W 65-58"
2003,8,2,Pittsburgh (16),9-0,"1,688",2,--,"  @ Georgia L 79-67,  vs Robert Morris W 85-49"
2003,8,3,Duke (14),7-0,"1,660",3,--,"  vs Fairfield W 86-58,  @ Clemson W 89-71"
2003,8,4,Arizona (5),6-1,"1,578",4,--,"  vs Boston U W 85-71,  @ Oregon W 81-72,  @ Oregon State W 80-65"
2003,8,5,Connecticut,8-0,"1,384",6,1,  vs St Bonaventure W 95-78
2003,8,6,Notre Dame,10-1,"1,361",8,2,"  vs Vanderbilt W 76-63,  vs Valparaiso W 55-53"
2003,8,7,Texas,7-2,"1,237",9,2,"  vs LA Tech W 58-50,  vs Mt St Mary's W 80-64"
2003,8,8,Mississippi State (1),8-1,"1,133",16,8,"  @ South Alabama W 85-74,  @ UAB W 68-52"
2003,8,9,Oregon,9-1,"1,131",11,2,"  vs Arizona L 81-72,  vs Arizona State W 94-73"
2003,8,10,Oklahoma,6-2,"1,051",5,5,"  vs UNC Asheville W 100-64,  vs Michigan State W 60-58"
2003,8,11,Illinois,8-1,"1,029",7,4,"  vs Coppin State W 63-37,  vs Oakland W 88-53"
2003,8,12,Florida,10-2,"1,006",12,--,  vs Florida A&M; W 91-58
2003,8,13,Marquette,8-1,961,13,--,"  @ ECU L 73-70,  @ Dayton L 92-85"
2003,8,14,Michigan State,8-2,839,15,1,"  vs Toledo L 81-76,  @ Oklahoma L 60-58"
2003,8,15,Creighton,10-0,775,18,3,"  @ Xavier L 75-73,  vs Drake W 84-63"
2003,8,16,Missouri,6-1,708,17,1,"  vs Valparaiso W 65-47,  @ Iowa W 88-82"
2003,8,17,Indiana,8-2,678,10,7,"  @ Ball State W 76-62,  vs Charlotte W 70-60"
2003,8,18,Kansas,7-3,646,19,1,"  vs UNC Asheville W 102-50,  vs UMKC W 100-46"
2003,8,19,Xavier,8-2,375,21,2,"  vs Creighton W 75-73,  @ Alabama L 65-58"
2003,8,20,Kentucky,6-3,374,14,6,"  vs Tennessee St W 115-87,  vs Alcorn State W 94-63,  vs Ohio W 83-75"
2003,8,21,LSU,8-1,308,24,3,"  vs New Orleans W 69-57,  @ Georgia L 89-63"
2003,8,22,Maryland,6-3,267,23,1,  vs Wagner W 79-57
2003,8,23,Wake Forest,7-0,254,25,2,"  vs Bethune-Cookman W 96-54,  @ Richmond W 68-62"
2003,8,24,Louisville,7-1,243,NR,2,  @ OSU W 72-64
2003,8,25,Texas Tech,8-1,133,NR,1,  vs Houston W 62-48
2003,9,1,Duke (54),9-0,"1,778",3,2,"  vs Georgetown W 93-86,  vs Wake Forest W 74-55"
2003,9,2,Arizona (15),9-1,"1,714",4,2,"  vs Washington St W 82-69,  vs Washington W 79-61"
2003,9,3,Connecticut (1),9-0,"1,563",5,2,"  @ Oklahoma L 73-63,  vs Miami W 83-80"
2003,9,4,Alabama,10-1,"1,513",1,3,"  vs Arkansas W 61-51,  @ Vanderbilt L 70-69"
2003,9,5,Notre Dame,12-1,"1,490",6,1,"  @ Pitt L 72-55,  vs Seton Hall W 74-64"
2003,9,6,Pittsburgh,10-1,"1,427",2,4,"  vs Notre Dame W 72-55,  @ Rutgers W 70-63"
2003,9,7,Mississippi State (2),10-1,"1,376",8,1,"  vs Florida L 74-66,  @ LSU L 85-72"
2003,9,8,Texas,9-2,"1,321",7,1,  vs Iowa State W 70-50
2003,9,9,Oklahoma,8-2,"1,132",10,1,"  vs UConn W 73-63,  vs Colorado W 69-54"
2003,9,10,Illinois,10-1,"1,083",11,1,"  @ Minnesota W 76-70,  vs Wisconsin W 69-63"
2003,9,11,Florida,11-2,"1,063",12,1,"  @ Miss St W 74-66,  vs Georgia W 66-63"
2003,9,12,Oregon,10-2,975,9,3,"  @ Cal L 88-72,  @ Stanford L 81-57"
2003,9,13,Missouri,8-1,864,16,3,"  vs Centenary W 88-58,  vs Baylor W 77-69"
2003,9,14,Kansas,9-3,800,18,4,"  @ Iowa State W 83-54,  vs Nebraska W 92-59"
2003,9,15,Indiana,10-2,779,17,2,"  vs Penn State W 78-65,  @ OSU L 81-69"
2003,9,16,Creighton,11-1,605,15,1,"  @ Bradley W 65-58,  @ Illinois State W 76-57"
2003,9,17,Wake Forest,9-0,562,23,6,"  vs Elon W 98-56,  @ Duke L 74-55"
2003,9,18,Kentucky,9-3,440,20,2,"  @ Tennessee W 74-71,  vs South Carolina W 62-55"
2003,9,19,Louisville,8-1,433,24,5,"  @ Charlotte W 80-59,  vs Saint Louis W 73-54"
2003,9,20,Georgia,9-3,392,NR,6,  @ Florida L 66-63
2003,9,21,Maryland,7-3,362,22,1,"  vs Hampton W 108-58,  vs FSU W 89-62"
2003,9,22,Xavier,9-3,362,19,2,"  vs Richmond L 67-59,  vs St Bonaventure W 99-83"
2003,9,23,Texas Tech,9-1,293,25,2,"  @ San Diego State W 75-63,  @ Kansas State L 68-44"
2003,9,24,Marquette,8-3,292,13,11,"  @ Saint Louis W 60-54,  vs USF W 96-63"
2003,9,25,Michigan State,8-4,267,14,11,"  vs OSU W 66-55,  @ Iowa L 68-64"
2003,10,1,Duke (57),11-0,"1,785",1,--,"  vs UVA W 104-93,  @ Maryland L 87-72"
2003,10,2,Arizona (15),11-1,"1,737",2,--,"  @ USC W 81-72,  @ UCLA W 87-52"
2003,10,3,Pittsburgh,12-1,"1,609",6,3,"  @ West Virginia W 80-61,  vs Syracuse W 73-60"
2003,10,4,Texas,10-2,"1,453",8,4,"  @ Baylor W 82-71,  vs Texas A&M; W 89-61"
2003,10,5,Oklahoma,10-2,"1,431",9,4,"  @ Oklahoma State L 48-46,  @ Iowa State W 70-60"
2003,10,6,Connecticut,10-1,"1,353",3,3,"  vs Virginia Tech W 83-65,  @ UNC L 68-65"
2003,10,7,Florida,13-2,"1,353",11,5,"  vs Tennessee W 77-64,  @ South Carolina W 77-75"
2003,10,8,Illinois,12-1,"1,303",10,2,"  @ Iowa L 68-61,  @ Indiana L 74-66"
2003,10,9,Alabama,11-2,"1,249",4,5,"  vs Miss St W 68-62,  @ Auburn L 77-68"
2003,10,10,Notre Dame,13-2,"1,234",5,5,"  vs Rutgers W 68-57,  @ Kentucky L 88-73"
2003,10,11,Missouri,10-1,"1,032",13,2,"  @ Syracuse L 76-69,  @ Oklahoma State L 76-56"
2003,10,12,Kansas,11-3,"1,028",14,2,"  vs Wyoming W 98-70,  vs Kansas State W 81-64"
2003,10,13,Creighton,13-1,831,16,3,"  vs Evansville W 93-56,  vs S Illinois W 85-76"
2003,10,14,Mississippi State,10-3,755,7,7,  @ Alabama L 68-62
2003,10,15,Louisville,10-1,726,19,4,"  @ ECU W 87-70,  vs TCU W 87-74"
2003,10,16,Kentucky,11-3,713,18,2,"  @ Vanderbilt W 74-52,  vs Notre Dame W 88-73"
2003,10,17,Maryland,9-3,623,21,4,"  @ Wake Forest L 81-72,  vs Duke W 87-72"
2003,10,18,Indiana,11-3,483,15,3,"  vs Northwestern W 71-57,  vs Illinois W 74-66"
2003,10,19,Wake Forest,10-1,419,17,2,"  vs Maryland W 81-72,  vs Georgia Tech W 73-66"
2003,10,20,Georgia,9-4,370,20,--,  @ Arkansas W 81-64
2003,10,21,Marquette,10-3,315,24,3,"  @ Tulane W 85-73,  @ Charlotte W 67-64"
2003,10,22,Oregon,10-4,292,12,10,"  @ Portland State W 69-63,  vs Oregon State W 79-68"
2003,10,23,LSU,11-2,283,NR,3,"  vs Centenary W 112-65,  vs Ole Miss L 67-57"
2003,10,24,Oklahoma State,12-1,270,NR,2,"  vs Oklahoma W 48-46,  vs Missouri W 76-56"
2003,10,25,Syracuse,10-1,146,NR,1,"  vs Missouri W 76-69,  @ Pitt L 73-60"
2003,11,1,Arizona (67),13-1,"1,795",2,1,"  vs Arizona State W 71-63,  @ Kansas W 91-74"
2003,11,2,Pittsburgh (3),14-1,"1,685",3,1,  vs Georgetown W 65-64
2003,11,3,Duke (1),12-1,"1,617",1,2,"  @ NC State L 80-71,  vs Georgia Tech W 91-71"
2003,11,4,Texas,12-2,"1,597",4,--,  vs Missouri W 76-55
2003,11,5,Florida (1),15-2,"1,543",6,1,  vs Vanderbilt W 87-75
2003,11,6,Kansas,13-3,"1,328",12,6,"  @ Colorado L 60-59,  vs Arizona L 91-74"
2003,11,7,Oklahoma,11-3,"1,277",5,2,"  vs Texas Tech W 69-64,  @ Baylor W 67-54"
2003,11,8,Kentucky,13-3,"1,112",16,8,"  vs Auburn W 67-51,  @ Alabama W 63-46"
2003,11,9,Louisville,12-1,"1,055",15,6,"  vs DePaul W 71-43,  @ Tennessee W 72-69"
