YEAR,WEEK,RK,TEAM,RECORD,PTS,PREV,TRENDING,GAMES
2008,2,9,Washington State,1-0,"1,142",10,1,"  @ Boise State W 86-74,  vs Idaho W 74-43"
2008,2,10,Marquette,1-0,"1,026",11,1,  vs Utah Valley W 66-55
2008,2,11,Oregon,2-0,"1,003",12,1,"  vs W Michigan W 97-88,  @ Portland W 85-61"
2008,2,12,Michigan State,0-0,976,8,4,"  vs Chicago State W 86-53,  vs UL Monroe W 83-65"
2008,2,13,Duke,1-0,917,13,--,  vs New Mexico St W 86-61
2008,2,14,Gonzaga,1-0,779,14,--,"  vs Idaho W 80-43,  vs UC Riverside W 84-48"
2008,2,15,Texas A&M;,1-0,693,16,1,"  vs Oral Roberts W 67-53,  vs UTEP W 81-76,  vs Ouachita Baptist W 85-59"
2008,2,16,Texas,0-0,684,15,1,"  vs UTSA W 58-37,  vs UC Davis W 73-42,  vs Ark Monticello W 100-52"
2008,2,17,Arizona,0-0,581,17,--,"  vs N Arizona W 76-69,  vs UVA L 75-72"
2008,2,18,Arkansas,1-0,558,19,1,"  vs Charleston W 75-49,  @ Providence L 67-51,  vs VCU W 70-60"
2008,2,19,Pittsburgh,3-0,413,22,3,  vs Miss Valley St W 78-45
2008,2,20,Stanford,3-0,389,23,3,"  @ Northwestern W 71-60,  @ Siena L 79-67"
2008,2,21,NC State,0-0,382,21,--,"  vs William & Mary W 66-47,  vs New Orleans L 65-63"
2008,2,22,Kansas State,2-0,297,25,3,  vs W Illinois W 77-64
2008,2,23,Southern Illinois,0-0,282,24,1,  vs N Illinois W 88-68
2008,2,24,Villanova,1-0,190,NR,2,  vs Bucknell W 70-64
2008,2,25,Butler,1-0,122,NR,1,"  vs Indiana State W 76-48,  @ Evansville W 60-47"
2008,3,1,North Carolina (26),2-0,"1,725",1,--,"  vs S Carolina St W 110-64,  vs Old Dominion W 99-82,  @ BYU W 73-63"
2008,3,2,UCLA (26),3-0,"1,716",2,--,"  @ Maryland W 71-59,  @ Michigan State W 68-63,  vs Yale W 81-47"
2008,3,3,Memphis (19),4-0,"1,689",3,--,  vs Arkansas State W 84-63
2008,3,4,Kansas,3-0,"1,566",4,--,"  vs N Arizona W 87-46,  vs Arizona W 76-72"
2008,3,5,Georgetown (1),2-0,"1,508",5,--,  @ Ball State W 57-48
2008,3,6,Louisville,2-0,"1,396",6,--,"  @ UNLV W 68-48,  vs BYU L 78-76,  vs Old Dominion W 64-53"
2008,3,7,Tennessee,3-0,"1,384",7,--,"  vs Mid Tennessee W 109-40,  @ West Virginia W 74-72,  @ Texas L 97-78"
2008,3,8,Indiana,2-0,"1,200",8,--,"  vs UNC Wilmington W 95-71,  vs Illinois State W 70-57,  @ Xavier L 80-65"
2008,3,9,Washington State,3-0,"1,170",9,--,"  vs Montana W 66-55,  vs Miss Valley St W 71-26,  vs Air Force W 71-62"
2008,3,10,Michigan State,2-0,"1,042",12,2,"  @ Missouri W 86-83,  vs UCLA L 68-63,  vs Oakland W 75-71"
2008,3,11,Marquette,2-0,"1,039",10,1,"  @ Chaminade W 74-63,  @ Oklahoma State W 91-61,  @ Duke L 77-73"
2008,3,12,Oregon,4-0,"1,021",11,1,"  @ Saint Mary's L 99-87,  vs San Francisco W 110-79"
2008,3,13,Duke,2-0,962,13,--,"  vs Princeton W 83-61,  @ Illinois W 79-66,  vs Marquette W 77-73,  vs E Kentucky W 78-43"
2008,3,14,Gonzaga,3-0,834,14,--,"  vs W Kentucky W 74-71,  vs Texas Tech L 73-63,  vs Virginia Tech W 82-64"
2008,3,15,Texas,3-0,789,16,1,"  @ New Mexico St W 102-87,  vs Tennessee W 97-78"
2008,3,16,Texas A&M;,4-0,759,15,1,"  vs Washington W 77-63,  @ OSU W 70-47"
2008,3,17,Pittsburgh,4-0,582,19,2,  vs Buffalo W 92-45
2008,3,18,Kansas State,3-0,487,22,4,"  vs George Mason L 87-77,  vs UCF W 73-71,  @ Rider W 82-69"
2008,3,19,Southern Illinois,1-0,400,23,4,"  @ Chattanooga W 63-41,  vs Miss St W 63-49,  @ USC L 70-45"
2008,3,20,Villanova,2-0,297,24,4,"  @ UCF W 76-68,  @ George Mason W 84-76,  vs NC State L 69-68"
2008,3,21,Syracuse,3-0,257,NR,5,"  @ OSU L 79-65,  vs Washington W 91-85"
2008,3,22,Butler,3-0,244,25,3,"  vs Michigan W 79-65,  @ Virginia Tech W 84-78,  @ Texas Tech W 81-71"
2008,3,23,Virginia,3-0,227,NR,3,"  vs Drexel W 72-58,  @ Penn W 100-85,  vs Seton Hall L 74-60"
2008,3,24,Clemson,3-0,187,NR,2,"  vs Presbyterian W 74-57,  vs Gardner-Webb W 96-67"
2008,3,25,Florida,4-0,135,NR,1,"  vs North Florida W 102-51,  vs FSU L 65-51"
2008,4,1,North Carolina (28),5-0,"1,736",1,--,"  @ OSU W 66-55,  @ Kentucky W 86-77"
2008,4,2,UCLA (25),6-0,"1,727",2,--,"  vs G Washington W 83-60,  vs Texas L 63-61"
2008,4,3,Memphis (18),5-0,"1,689",3,--,  vs Austin Peay W 104-82
2008,4,4,Kansas,5-0,"1,577",4,--,"  vs FAU W 87-49,  @ USC W 59-55"
2008,4,5,Georgetown (1),3-0,"1,536",5,--,"  @ Old Dominion W 66-48,  vs Fairfield W 61-49"
2008,4,6,Washington State,6-0,"1,360",9,3,  @ Baylor W 67-64
2008,4,7,Duke,6-0,"1,353",13,6,"  vs Wisconsin W 82-58,  @ Davidson W 79-73"
