,Date,Number,Winner,Type,Loser
300,Jul 4th 2015,2,Kalisto & Sin Cara,def. (pin),Big E & Xavier Woods
301,Jul 4th 2015,3,Chris Jericho,def. (sub),Neville
302,Jul 4th 2015,4,Nikki Bella (c),def. (pin),"Tamina Snuka, Paige"
303,Jul 4th 2015,5,Brock Lesnar,def. (pin),Kofi Kingston
304,Jul 4th 2015,6,Finn Bálor,def. (pin),Kevin Owens (c)
305,Jul 4th 2015,7,Dolph Ziggler & John Cena,def. (pin),Kane & King Barrett
306,Jul 3rd 2015,1,Neville,def. (pin),Kofi Kingston
307,Jul 3rd 2015,2,Cesaro,def. (sub),Kane
308,Jul 3rd 2015,3,Kalisto & Sin Cara,def. (pin),"Diego & Fernando, Big E & Xavier Woods"
309,Jul 3rd 2015,4,Dolph Ziggler,def. (pin),King Barrett
310,Jul 3rd 2015,5,Nikki Bella (c),def. (pin),Tamina Snuka
311,Jul 3rd 2015,6,Finn Bálor,def. (pin),Chris Jericho
312,Jul 3rd 2015,7,John Cena,def. (DQ),Kevin Owens
313,Jul 2nd 2015,1,Neville,def. (pin),Kofi Kingston
314,Jul 2nd 2015,2,Kalisto & Sin Cara,def. (pin),Diego & Fernando
315,Jul 2nd 2015,3,Finn Bálor,def. (pin),King Barrett
316,Jul 2nd 2015,4,Dolph Ziggler,def. (pin),Kane
317,Jul 2nd 2015,5,Nikki Bella (c),def. (pin),Tamina Snuka
318,Jul 2nd 2015,6,Cesaro,def. (sub),Big E
319,Jul 2nd 2015,7,John Cena,def. (DQ),Kevin Owens
320,Jun 30th 2015,1,Tyler Breeze,def. (pin),Chuck Lennox
321,Jun 30th 2015,2,Bray Wyatt,def. (pin),Dean Ambrose
322,Jun 30th 2015,3,R-Truth,def. (pin),Adam Rose
323,Jun 30th 2015,4,Ryback,def. (pin),Mark Henry
324,Jun 30th 2015,5,Brie Bella,def. (pin),Naomi
325,Jun 30th 2015,6,Darren Young & Titus O'Neil,def. (pin),Konnor & Viktor
326,Jun 30th 2015,7,Roman Reigns,def. (DQ),Seth Rollins
327,Jun 30th 2015,1,Bo Dallas,def. (pin),Zack Ryder
328,Jun 30th 2015,2,Fandango,def. (pin),Heath Slater
329,Jun 30th 2015,3,Luke Harper,def. (pin),Jack Swagger
330,Jun 29th 2015,1,The Big Show,def. (pin),Mark Henry
331,Jun 29th 2015,2,Ryback,def. (CO),The Miz
332,Jun 29th 2015,3,Paige,def. (pin),Alicia Fox
333,Jun 29th 2015,4,Cesaro,draw (NC),John Cena (c)
334,Jun 29th 2015,5,Darren Young & Kalisto & Sin Cara & Titus O'Neil,def. (pin),Big E & Bo Dallas & Kofi Kingston & Xavier Woods
335,Jun 29th 2015,6,Sheamus,def. (pin),Neville
336,Jun 29th 2015,7,King Barrett,def. (pin),Jack Swagger
337,Jun 29th 2015,8,Kane & Seth Rollins,def. (pin),Dean Ambrose & Roman Reigns
338,Jun 29th 2015,1,Konnor & Viktor,def. (pin),Curtis Axel & Damien Sandow
339,Jun 29th 2015,2,Adam Rose,def. (pin),Fandango
340,Jun 28th 2015,1,Zack Ryder,def. (pin),Adam Rose
341,Jun 28th 2015,2,Curtis Axel & Damien Sandow,def. (pin),Bo Dallas & Brad Maddox
342,Jun 28th 2015,3,Fandango,def. (pin),Heath Slater
343,Jun 28th 2015,4,Dolph Ziggler,def. (pin),Luke Harper
344,Jun 28th 2015,5,Nikki Bella (c),def. (pin),"Paige, Naomi"
345,Jun 28th 2015,6,Cesaro & Neville,def. (pin),Big E & Kofi Kingston
346,Jun 28th 2015,7,Chris Jericho,def. (pin),King Barrett
347,Jun 28th 2015,1,Ryback (c),def. (pin),Mark Henry
348,Jun 28th 2015,2,R-Truth,def. (pin),Tyler Breeze
349,Jun 28th 2015,3,Jimmy Uso,def. (pin),Tyler Breeze
350,Jun 28th 2015,4,Kalisto & Sin Cara,def. (pin),"Diego & Fernando, Kory Chavis & Viktor"
351,Jun 28th 2015,5,Roman Reigns,def. (pin),Bray Wyatt
352,Jun 28th 2015,6,Alicia Fox & Emma,def. (pin),Cameron & Summer Rae
353,Jun 28th 2015,7,Sheamus,def. (pin),Jack Swagger
354,Jun 28th 2015,8,Seth Rollins (c),def. (pin),Dean Ambrose
