,Date,Number,Winner,Type,Loser
11790,Oct 12th 2009,7,Gail Kim & Kelly Kelly & Maria Menounos,def. (pin),Alicia Fox & Beth Phoenix & Rosa Mendes
11791,Oct 12th 2009,8,Cody Rhodes & Ted DiBiase Jr.,def. (pin),John Cena & Randy Orton
11792,Oct 12th 2009,1,Mark Henry,def.,Chris Masters
11793,Oct 6th 2009,1,Rey Mysterio,def. (pin),Chris Jericho
11794,Oct 6th 2009,2,Michelle McCool,def. (pin),Eve Torres
11795,Oct 6th 2009,3,John Morrison (c),def. (pin),Dolph Ziggler
11796,Oct 6th 2009,4,Drew McIntyre & Kane,def. (pin),Matt Hardy & R-Truth
11797,Oct 6th 2009,5,C. M. Punk,def. (CO),Batista
11798,Oct 6th 2009,1,Shelton Benjamin,def. (DQ),Sheamus
11799,Oct 6th 2009,2,JTG & Shad Gaspard,def.,David Hart Smith & Tyson Kidd
11800,Oct 6th 2009,1,Ezekiel Jackson & Vladimir Kozlov,def. (pin),Goldust & Tommy Dreamer
11801,Oct 6th 2009,2,Yoshi Tatsu,def. (pin),William Regal
11802,Oct 6th 2009,3,Christian,draw (NC),Zack Ryder
11803,Oct 5th 2009,1,Brie Bella & Eve Torres & Kelly Kelly & Maria Kanellis & Melina & Mickie James & Nikki Bella,def. (pin),Alicia Fox & Beth Phoenix & Jillian Hall & Layla & Michelle McCool & Natalya & Rosa Mendes
11804,Oct 5th 2009,2,Jack Swagger,def. (pin),Primo
11805,Oct 5th 2009,3,Mark Henry & Montel Vontavious Porter,def. (pin),Chavo Guerrero & Chris Masters
11806,Oct 5th 2009,4,The Miz,def. (pin),Kofi Kingston (c)
11807,Oct 5th 2009,5,Shawn Michaels & Triple H,def. (pin),Chris Jericho & The Big Show
11808,Oct 5th 2009,1,Ted DiBiase Jr.,def. (pin),Evan Bourne
11809,Oct 4th 2009,1,The Undertaker,def. (pin),C. M. Punk (c)
11810,Oct 4th 2009,2,John Morrison (c),def. (pin),Dolph Ziggler
11811,Oct 4th 2009,3,Mickie James (c),def. (pin),Alicia Fox
11812,Oct 4th 2009,4,Chris Jericho (c) & The Big Show (c),def. (pin),Batista & Rey Mysterio
11813,Oct 4th 2009,5,Randy Orton,def. (pin),John Cena (c)
11814,Oct 4th 2009,6,Drew McIntyre,def. (pin),R-Truth
11815,Oct 4th 2009,7,Kofi Kingston (c),def. (pin),"Jack Swagger, The Miz"
11816,Oct 4th 2009,8,Shawn Michaels & Triple H,def. (pin),Cody Rhodes & Ted DiBiase Jr.
11817,Sep 29th 2009,1,Batista,def. (pin),Kane
11818,Sep 29th 2009,2,Dolph Ziggler & The Miz,def. (pin),John Morrison & Kofi Kingston
11819,Sep 29th 2009,3,Michelle McCool (c),def. (pin),Melina
11820,Sep 29th 2009,4,John Cena & Shawn Michaels & The Undertaker & Triple H,def. (pin),"C. M. Punk & Cody Rhodes & Randy Orton & Ted DiBiase, Jr."
11821,Sep 29th 2009,1,Shad Gaspard,def.,Tyson Kidd
11822,Sep 29th 2009,1,Shelton Benjamin,def. (pin),Paul Burchill
11823,Sep 29th 2009,2,Christian & Goldust & Tommy Dreamer & Yoshi Tatsu,def. (pin),Ezekiel Jackson & Vladimir Kozlov & William Regal & Zack Ryder
11824,Sep 28th 2009,1,Chris Jericho (c) & The Big Show (c),def. (pin),Mark Henry & Montel Vontavious Porter
11825,Sep 28th 2009,2,Mickie James,def. (pin),Rosa Mendes
11826,Sep 28th 2009,3,Jack Swagger,def. (pin),Evan Bourne
11827,Sep 28th 2009,4,Chavo Guerrero & Chris Masters,def. (sub),Hornswoggle & Santino Marella
11828,Sep 28th 2009,5,John Cena,def. (DQ),Chris Jericho
11829,Sep 28th 2009,6,John Cena,def. (DQ),The Big Show
11830,Sep 28th 2009,7,John Cena,draw (NC),Randy Orton
11831,Sep 28th 2009,1,Sheamus,def.,Tyler Reks
11832,Sep 28th 2009,2,Kofi Kingston,def.,The Miz
11833,Sep 22nd 2009,1,Finlay & John Morrison,def.,Dolph Ziggler & Mike Knox
11834,Sep 22nd 2009,2,Kane,def.,Slam Master J.
11835,Sep 22nd 2009,3,Batista,def. (DQ),The Big Show
11836,Sep 22nd 2009,4,David Hart Smith,def.,JTG
11837,Sep 22nd 2009,5,The Undertaker,def. (CO),C. M. Punk (c)
11838,Sep 22nd 2009,1,Goldust,def. (DQ),William Regal
11839,Sep 22nd 2009,2,Layla & Michelle McCool,def.,Maria Kanellis & Melina
11840,Sep 22nd 2009,3,Matt Hardy,def. (DQ),Kane
11841,Sep 22nd 2009,1,Yoshi Tatsu,def.,Paul Burchill
11842,Sep 22nd 2009,2,Ezekiel Jackson & Vladimir Kozlov,def.,Brandon Young & Dustin Brady
11843,Sep 22nd 2009,3,Christian (c),def.,Zack Ryder
11844,Sep 21st 2009,1,Triple H,def. (DQ),Cody Rhodes
11845,Sep 21st 2009,2,The Miz,def. (pin),Evan Bourne
11846,Sep 21st 2009,3,Beth Phoenix,def. (pin),Mickie James
11847,Sep 21st 2009,4,Kofi Kingston (c),def. (CO),Jack Swagger
11848,Sep 21st 2009,5,Cedric the Entertainer,def. (pin),Chavo Guerrero
11849,Sep 21st 2009,6,Chris Jericho & Randy Orton & The Big Show,def. (pin),John Cena & Mark Henry & Montel Vontavious Porter
11850,Sep 21st 2009,1,Primo,def.,Chris Masters
11851,Sep 15th 2009,1,John Morrison,def. (pin),Mike Knox
11852,Sep 15th 2009,2,Melina,def. (pin),Michelle McCool
11853,Sep 15th 2009,3,David Hart Smith & Tyson Kidd,def. (pin),JTG & Shad Gaspard
11854,Sep 15th 2009,4,The Great Khali,def. (DQ),Kane
11855,Sep 15th 2009,5,Charlie Haas,def. (forfeit),R-Truth
11856,Sep 15th 2009,6,Batista,def. (pin),Chris Jericho
11857,Sep 15th 2009,1,Christian,def. (pin),Paul Burchill
11858,Sep 15th 2009,2,Dolph Ziggler,def. (pin),Finlay
11859,Sep 15th 2009,1,William Regal,def. (pin),The Hurricane
11860,Sep 15th 2009,2,Yoshi Tatsu,def. (pin),Zack Ryder
11861,Sep 15th 2009,3,Zack Ryder,def.,"Ezekiel Jackson, Goldust, Paul Burchill, Sheamus, Shelton Benjamin, Tommy Dreamer, Tyler Reks, Vladimir Kozlov, Yoshi Tatsu"
11862,Sep 14th 2009,1,Jack Swagger & The Miz,def. (pin),Kofi Kingston & Primo
11863,Sep 14th 2009,2,Alicia Fox,def. (pin),Gail Kim
11864,Sep 14th 2009,3,Shawn Michaels,def. (DQ),"Ted DiBiase, Jr."
11865,Sep 14th 2009,4,Evan Bourne & Hornswoggle,def. (pin),Carlito & Chavo Guerrero
11866,Sep 14th 2009,5,Montel Vontavious Porter & Trish Stratus,def. (DQ),Beth Phoenix & Chris Jericho
11867,Sep 14th 2009,6,Mark Henry & Montel Vontavious Porter & Trish Stratus,def. (pin),Beth Phoenix & Chris Jericho & The Big Show
11868,Sep 14th 2009,7,Batista,def. (pin),Randy Orton
11869,Sep 14th 2009,1,Chris Masters,def. (sub),Santino Marella
11870,Sep 13th 2009,1,Chris Jericho (c) & The Big Show (c),def. (pin),Mark Henry & Montel Vontavious Porter
11871,Sep 13th 2009,2,Kofi Kingston (c),def. (pin),The Miz
11872,Sep 13th 2009,3,"Cody Rhodes & Ted DiBiase, Jr.",def. (sub),Shawn Michaels & Triple H
11873,Sep 13th 2009,4,Kane,def. (pin),The Great Khali
11874,Sep 13th 2009,5,Christian (c),def. (pin),William Regal
11875,Sep 13th 2009,6,John Cena,def. (sub),Randy Orton (c)
11876,Sep 13th 2009,7,C. M. Punk (c),def. (sub),The Undertaker
11877,Sep 8th 2009,1,Finlay,def. (pin),Mike Knox
11878,Sep 8th 2009,2,David Hart Smith,draw (NC),The Great Khali
11879,Sep 8th 2009,3,Chris Jericho & The Big Show,def. (pin),JTG & Shad Gaspard
11880,Sep 8th 2009,4,John Morrison,def. (pin),Charlie Haas
11881,Sep 8th 2009,5,Layla,def. (pin),Melina
11882,Sep 8th 2009,6,C. M. Punk,def. (sub),Matt Hardy
11883,Sep 8th 2009,1,Nikki Bella,def.,Katie Lea Burchill
11884,Sep 8th 2009,2,Kane,def.,Jimmy Wang Yang
11885,Sep 8th 2009,3,Dolph Ziggler,def.,Slam Master J.
11886,Sep 8th 2009,1,Gregory Helms,def. (pin),Paul Burchill
11887,Sep 8th 2009,2,Sheamus & Shelton Benjamin,def. (pin),Goldust & Yoshi Tatsu
11888,Sep 8th 2009,3,Zack Ryder,def. (pin),Rory Fargo
11889,Sep 8th 2009,4,Ezekiel Jackson & Vladimir Kozlov,def. (pin),Christian & Tommy Dreamer
11890,Sep 7th 2009,1,Montel Vontavious Porter,def. (pin),Chris Jericho
11891,Sep 7th 2009,2,Evan Bourne,def. (pin),Chavo Guerrero
11892,Sep 7th 2009,3,John Cena,def. (DQ),Cody Rhodes
11893,Sep 7th 2009,4,The Big Show,def.,Santino Marella
11894,Sep 7th 2009,5,Mark Henry,def.,The Big Show
11895,Sep 7th 2009,6,Shawn Michaels & Triple H,def. (sub),Chris Masters & Randy Orton
11896,Sep 7th 2009,1,Sheamus,def. (pin),Yoshi Tatsu
11897,Sep 7th 2009,2,Jack Swagger & The Miz,def. (pin),Kofi Kingston & Primo
11898,Sep 1st 2009,1,Finlay & The Great Khali,def. (pin),Kane & Mike Knox
11899,Sep 1st 2009,2,John Morrison,def. (pin),Rey Mysterio (c)
11900,Sep 1st 2009,3,Eve Torres & Maria Kanellis,def. (pin),Layla & Natalya
11901,Sep 1st 2009,4,C. M. Punk,draw (NC),Matt Hardy
11902,Sep 1st 2009,1,William Regal,def.,Tyler Reks
11903,Sep 1st 2009,2,David Hart Smith & Natalya & Tyson Kidd,def.,Eve Torres & JTG & Shad Gaspard
11904,Sep 1st 2009,1,Shelton Benjamin,def. (pin),Zack Ryder
11905,Sep 1st 2009,2,Ezekiel Jackson & Vladimir Kozlov,def. (pin),Jim Parks & Mike Tolar
11906,Sep 1st 2009,3,Sheamus,def. (pin),Goldust
11907,Aug 31st 2009,1,Beth Phoenix,def.,"Alicia Fox, Gail Kim, Jillian Hall, Kelly Kelly, Rosa Mendes"
11908,Aug 31st 2009,2,Chris Jericho,def. (pin),Montel Vontavious Porter
11909,Aug 31st 2009,3,Hornswoggle,def.,Chavo Guerrero
11910,Aug 31st 2009,4,Mark Henry,def. (DQ),The Big Show
11911,Aug 31st 2009,5,Kofi Kingston (c),def. (pin),"Carlito, Jack Swagger, The Miz"
11912,Aug 31st 2009,6,Mickie James (c),def. (pin),Beth Phoenix
11913,Aug 31st 2009,1,Evan Bourne,def. (pin),Chris Masters
11914,Aug 25th 2009,1,John Morrison & Matt Hardy,def. (pin),David Hart Smith & Tyson Kidd
11915,Aug 25th 2009,2,Drew McIntyre,draw (NC),R-Truth
11916,Aug 25th 2009,3,Melina,def. (pin),Layla
11917,Aug 25th 2009,4,Rey Mysterio,def. (DQ),Kane
11918,Aug 25th 2009,5,Chris Jericho,draw (NC),Shad Gaspard
11919,Aug 25th 2009,6,Chris Jericho & The Big Show,def. (pin),JTG & Shad Gaspard
11920,Aug 25th 2009,7,C. M. Punk (c),def.,Jeff Hardy
11921,Aug 25th 2009,1,Paul Burchill,def. (pin),The Hurricane
11922,Aug 25th 2009,2,Dolph Ziggler,def. (pin),"Finlay, Mike Knox"
11923,Aug 25th 2009,1,Goldust,draw (DCO),Sheamus
11924,Aug 25th 2009,2,Tyler Reks & Yoshi Tatsu,def. (pin),Shelton Benjamin & Zack Ryder
11925,Aug 25th 2009,3,William Regal,def. (pin),Christian
11926,Aug 24th 2009,1,The Miz,def. (pin),Santino Marella
11927,Aug 24th 2009,2,Alicia Fox & Beth Phoenix & Rosa Mendes,def. (pin),Gail Kim & Kelly Kelly & Mickie James
11928,Aug 24th 2009,3,Mark Henry & Montel Vontavious Porter,def. (pin),Chris Jericho & The Big Show
11929,Aug 24th 2009,4,Hornswoggle,def. (DQ),Chavo Guerrero
11930,Aug 24th 2009,5,Mr. McMahon & Shawn Michaels & Triple H,def. (pin),"Cody Rhodes & Randy Orton & Ted DiBiase, Jr."
11931,Aug 24th 2009,1,Jack Swagger,def.,Primo
11932,Aug 24th 2009,1,Rey Mysterio (c),def. (pin),Dolph Ziggler
11933,Aug 24th 2009,2,Montel Vontavious Porter,def. (pin),Jack Swagger
11934,Aug 24th 2009,3,Chris Jericho (c) & The Big Show (c),def. (pin),JTG & Shad Gaspard
11935,Aug 24th 2009,4,Kane,def. (pin),The Great Khali
11936,Aug 24th 2009,5,Shawn Michaels & Triple H,def. (pin),"Cody Rhodes & Ted DiBiase, Jr."
11937,Aug 24th 2009,6,Christian (c),def. (pin),William Regal
11938,Aug 24th 2009,7,Randy Orton (c),def. (pin),John Cena
11939,Aug 24th 2009,8,C. M. Punk,def.,Jeff Hardy (c)
11940,Aug 23rd 2009,1,Primo,def. (pin),Chavo Guerrero Jr.
11941,Aug 23rd 2009,2,Hurricane Helms,def. (pin),Paul Burchill
11942,Aug 22nd 2009,1,Jimmy Wang Yang,def. (pin),Mike Knox
11943,Aug 22nd 2009,2,Chris Masters,def. (sub),Jamie Noble
11944,Aug 18th 2009,1,Chris Jericho & Dolph Ziggler & The Big Show,def. (pin),JTG & Rey Mysterio & Shad Gaspard
11945,Aug 18th 2009,2,Finlay,def. (DQ),Mike Knox
11946,Aug 18th 2009,3,Maria Kanellis & Melina,def. (pin),Layla & Natalya
11947,Aug 18th 2009,4,Jeff Hardy & John Morrison & Matt Hardy,def. (pin),C. M. Punk & David Hart Smith & Tyson Kidd
11948,Aug 18th 2009,1,Shelton Benjamin,def. (pin),Tyler Reks
11949,Aug 18th 2009,2,R-Truth,def. (pin),Charlie Haas
11950,Aug 18th 2009,1,The Hurricane,def. (pin),Paul Burchill
11951,Aug 18th 2009,2,Zack Ryder,def. (pin),Yoshi Tatsu
11952,Aug 18th 2009,3,Vladimir Kozlov & William Regal,def. (pin),Christian & Ezekiel Jackson
11953,Aug 17th 2009,1,Kofi Kingston (c),def. (pin),Carlito
11954,Aug 17th 2009,2,The Miz,def. (pin),Evan Bourne
11955,Aug 17th 2009,3,Mickie James (c),def. (pin),Gail Kim
11956,Aug 17th 2009,4,Montel Vontavious Porter,def. (DQ),Jack Swagger
11957,Aug 17th 2009,5,Hornswoggle,def. (pin),Chavo Guerrero
11958,Aug 17th 2009,6,John Cena & Randy Orton,def. (pin),Chris Jericho & The Big Show
11959,Aug 17th 2009,1,Beth Phoenix,def.,Kelly Kelly
11960,Aug 17th 2009,2,Mark Henry,def. (CO),Chris Masters
11961,Aug 11th 2009,1,Dolph Ziggler,def. (pin),Finlay
11962,Aug 11th 2009,2,C. M. Punk,def. (pin),John Morrison
11963,Aug 11th 2009,3,Melina,def. (pin),Layla
11964,Aug 11th 2009,4,The Big Show,def. (pin),JTG
11965,Aug 11th 2009,5,David Hart Smith & Tyson Kidd,def. (pin),Jeff Hardy
11966,Aug 11th 2009,1,Goldust,def.,Sheamus
11967,Aug 11th 2009,1,Shelton Benjamin,def. (pin),Zack Ryder
11968,Aug 11th 2009,2,Vladimir Kozlov,def. (pin),Kevin Brooks
11969,Aug 11th 2009,3,Yoshi Tatsu,def. (DQ),Paul Burchill
11970,Aug 11th 2009,4,Tyler Reks,def. (pin),Tom James
11971,Aug 11th 2009,5,William Regal,def. (pin),Tommy Dreamer
11972,Aug 10th 2009,1,Gail Kim,def. (pin),"Alicia Fox, Beth Phoenix, Kelly Kelly"
11973,Aug 10th 2009,2,Jack Swagger,def. (pin),Evan Bourne
11974,Aug 10th 2009,3,The Calgary Kid,def. (pin),Eugene
11975,Aug 10th 2009,4,The Big Show,def. (CO),Randy Orton
11976,Aug 10th 2009,5,Montel Vontavious Porter,def. (pin),Chris Masters
11977,Aug 10th 2009,6,"Cody Rhodes & Ted DiBiase, Jr.",def. (pin),Hornswoggle & Mark Henry
11978,Aug 10th 2009,7,John Cena,draw (NC),Chris Jericho
11979,Aug 10th 2009,1,John Morrison,def. (pin),David Hart Smith
11980,Aug 10th 2009,2,Carlito & Rosa Mendes,def. (pin),Kofi Kingston & Mickie James
11981,Aug 4th 2009,1,Jeff Hardy (c),draw (NC),C. M. Punk
11982,Aug 4th 2009,2,John Morrison,def. (pin),Tyson Kidd
11983,Aug 4th 2009,3,Slam Master J.,def. (pin),Charlie Haas
11984,Aug 4th 2009,4,Dolph Ziggler,def. (pin),"Finlay, Mike Knox, R-Truth"
11985,Aug 4th 2009,5,JTG,def. (pin),Chris Jericho
11986,Aug 4th 2009,6,The Great Khali,def. (pin),Ricky Ortiz
11987,Aug 4th 2009,7,Jeff Hardy (c),def. (pin),C. M. Punk
11988,Aug 4th 2009,1,Paul Burchill & William Regal,def.,Tyler Reks & Yoshi Tatsu
11989,Aug 4th 2009,2,Rey Mysterio,def. (DQ),Mike Knox
11990,Aug 4th 2009,1,Ezekiel Jackson,def.,Danny Danger
11991,Aug 4th 2009,2,Sheamus,def. (pin),Goldust
11992,Aug 4th 2009,3,Christian (c),def. (pin),Tommy Dreamer
11993,Aug 3rd 2009,1,Jack Swagger,def. (pin),Evan Bourne
11994,Aug 3rd 2009,2,Beth Phoenix & Jillian Hall,def. (pin),Gail Kim & Mickie James
11995,Aug 3rd 2009,4,Carlito,def. (pin),Primo
11996,Aug 3rd 2009,5,Mark Henry,def. (pin),Chavo Guerrero
11997,Aug 3rd 2009,6,Kofi Kingston (c),def. (DQ),The Big Show
11998,Aug 3rd 2009,7,John Cena,def. (pin),The Miz
11999,Aug 3rd 2009,1,Chris Masters,def. (sub),Santino Marella
12000,Jul 28th 2009,1,JTG & Shad Gaspard,def.,David Hart Smith & Tyson Kidd
12001,Jul 28th 2009,2,Eve Torres & Melina,def.,Layla & Michelle McCool
12002,Jul 28th 2009,3,Finlay & Rey Mysterio,def. (pin),Dolph Ziggler & Mike Knox
12003,Jul 28th 2009,4,The Great Khali,draw (NC),Charlie Haas
12004,Jul 28th 2009,5,Jeff Hardy (c),def. (pin),John Morrison
12005,Jul 28th 2009,1,William Regal,def.,Yoshi Tatsu
12006,Jul 28th 2009,1,Tyler Reks,def. (pin),Paul Burchill
12007,Jul 28th 2009,2,Vladimir Kozlov,def. (pin),Bill Baine
12008,Jul 28th 2009,3,Sheamus,def. (pin),Goldust
12009,Jul 28th 2009,4,Christian,def. (pin),Zack Ryder
12010,Jul 27th 2009,1,Mark Henry,def. (pin),Carlito
12011,Jul 27th 2009,2,Gail Kim & Kelly Kelly & Mickie James,def. (pin),Alicia Fox & Beth Phoenix & Rosa Mendes
12012,Jul 27th 2009,3,Montel Vontavious Porter,draw (DCO),Chris Masters
12013,Jul 27th 2009,4,Kofi Kingston,def. (pin),The Brian Kendrick
12014,Jul 27th 2009,5,Triple H,draw (time),Cody Rhodes
12015,Jul 27th 2009,6,Hornswoggle,def. (pin),Chavo Guerrero
12016,Jul 27th 2009,7,Evan Bourne,def. (pin),Jack Swagger
12017,Jul 27th 2009,8,John Cena,def. (sub),The Miz
12018,Jul 27th 2009,9,JTG & Shad Gaspard,def. (DQ),Chris Jericho & The Big Show
12019,Jul 27th 2009,1,John Morrison,def.,Tyson Kidd
12020,Jul 27th 2009,2,Randy Orton,def.,Primo
12021,Jul 26th 2009,1,Chris Jericho (c) & The Big Show (c),def. (sub),"Cody Rhodes & Ted DiBiase, Jr."
12022,Jul 26th 2009,2,Christian,def. (pin),Tommy Dreamer (c)
12023,Jul 26th 2009,3,Kofi Kingston (c),def. (pin),"Carlito, Jack Swagger, Montel Vontavious Porter, Primo, The Miz"
12024,Jul 26th 2009,4,Michelle McCool (c),def. (pin),Melina
12025,Jul 26th 2009,5,Randy Orton (c),def. (pin),"John Cena, Triple H"
12026,Jul 26th 2009,6,Mickie James,def. (pin),Maryse (c)
12027,Jul 26th 2009,7,Rey Mysterio (c),def. (pin),Dolph Ziggler
12028,Jul 26th 2009,8,Jeff Hardy,def. (pin),C. M. Punk (c)
12029,Jul 21st 2009,1,Jeff Hardy,def.,Chris Jericho
12030,Jul 21st 2009,2,Dolph Ziggler,def. (CO),Finlay
12031,Jul 21st 2009,3,The Great Khali,def.,Mike Knox
12032,Jul 21st 2009,4,Eve Torres,def.,Natalya
12033,Jul 21st 2009,5,R-Truth,def.,Charlie Haas
12034,Jul 21st 2009,6,Rey Mysterio,def. (DQ),C. M. Punk
12035,Jul 21st 2009,1,John Morrison,def. (DQ),Kane
12036,Jul 21st 2009,1,Yoshi Tatsu,def. (pin),William Regal
12037,Jul 21st 2009,2,Ezekiel Jackson,def. (pin),Mike Williams
12038,Jul 21st 2009,3,Shelton Benjamin,def. (pin),Goldust
12039,Jul 21st 2009,4,Tyler Reks,def. (pin),Paul Burchill
12040,Jul 20th 2009,1,Kofi Kingston & Montel Vontavious Porter & Primo,def. (pin),Carlito & Jack Swagger & The Big Show
12041,Jul 20th 2009,2,Jerry Lawler,def. (pin),The Brian Kendrick
12042,Jul 20th 2009,3,Mark Henry,def. (DQ),Chris Jericho
12043,Jul 20th 2009,4,Hornswoggle,def.,Chavo Guerrero
12044,Jul 20th 2009,5,Alicia Fox & Rosa Mendes,def. (pin),Gail Kim & Kelly Kelly
12045,Jul 20th 2009,6,John Cena & Triple H,def. (pin),"Cody Rhodes & Randy Orton & Ted DiBiase, Jr."
12046,Jul 20th 2009,1,Christian,def.,William Regal
12047,Jul 20th 2009,2,Evan Bourne,def. (pin),Jamie Noble
12048,Jul 14th 2009,1,John Morrison,def. (pin),C. M. Punk
12049,Jul 14th 2009,2,Kane,def. (pin),R-Truth
12050,Jul 14th 2009,3,David Hart Smith & Natalya & Tyson Kidd,def. (pin),Eve Torres & JTG & Shad Gaspard
12051,Jul 14th 2009,4,Jeff Hardy & Rey Mysterio,def. (DQ),Chris Jericho & Dolph Ziggler
12052,Jul 14th 2009,1,Brie Bella,def. (pin),Katie Lea Burchill
12053,Jul 14th 2009,2,JTG & Shad Gaspard,def. (pin),David Hart Smith & Tyson Kidd
12054,Jul 14th 2009,1,Shelton Benjamin,def. (pin),Christian
12055,Jul 14th 2009,2,Yoshi Tatsu,def. (pin),Paul Burchill
12056,Jul 14th 2009,3,Zack Ryder,def. (pin),Goldust
12057,Jul 14th 2009,4,Sheamus,def. (pin),Roman Cornell
12058,Jul 14th 2009,5,Vladimir Kozlov,def. (pin),Tommy Dreamer
12059,Jul 13th 2009,1,Gail Kim & Kelly Kelly & Mickie James,def. (pin),Alicia Fox & Maryse & Rosa Mendes
12060,Jul 13th 2009,2,The Miz,def. (pin),Primo
12061,Jul 13th 2009,3,Jack Swagger,def. (pin),Montel Vontavious Porter
12062,Jul 13th 2009,4,Mark Henry,def. (CO),Chris Jericho
12063,Jul 13th 2009,5,Hornswoggle,def. (pin),Chavo Guerrero
12064,Jul 13th 2009,6,The Big Show,def. (sub),Evan Bourne
12065,Jul 13th 2009,7,John Cena & Seth Green & Triple H,draw (NC),"Cody Rhodes & Randy Orton & Ted DiBiase, Jr."
12066,Jul 13th 2009,1,The Big Show,def.,Kofi Kingston
12067,Jul 1st 2009,1,Kane,def.,Jeff Hardy
12068,Jul 1st 2009,2,Dolph Ziggler,def.,John Morrison
12069,Jul 1st 2009,3,Eve Torres & Melina,def.,Layla & Michelle McCool
12070,Jul 1st 2009,4,C. M. Punk,draw (NC),The Great Khali
12071,Jul 1st 2009,5,David Hart Smith & Tyson Kidd,def.,JTG & Shad Gaspard
12072,Jul 1st 2009,6,Rey Mysterio (c),def.,Chris Jericho
12073,Jul 1st 2009,1,Zack Ryder,def.,Tyler Reks
12074,Jul 1st 2009,2,R-Truth,def.,Ricky Ortiz
12075,Jul 1st 2009,1,Nikki Bella,def.,Katie Lea Burchill
12076,Jul 1st 2009,2,Shelton Benjamin,def.,Yoshi Tatsu
12077,Jul 1st 2009,3,Ezekiel Jackson,def.,Jack Mecidol
12078,Jul 1st 2009,4,Christian,def. (pin),Vladimir Kozlov
12079,Jun 30th 2009,1,Finlay,def.,Ricky Ortiz
12080,Jun 30th 2009,2,Dolph Ziggler,def.,R-Truth
12081,Jun 30th 2009,3,Kane,def.,Rey Mysterio
12082,Jun 30th 2009,4,JTG & Shad Gaspard,def.,David Hart Smith & Tyson Kidd
12083,Jun 30th 2009,5,Maria Kanellis & Melina,def.,Layla & Michelle McCool
12084,Jun 30th 2009,6,Chris Jericho & Edge,def. (pin),C. M. Punk & Jeff Hardy
12085,Jun 30th 2009,1,Yoshi Tatsu,def. (pin),Shelton Benjamin
12086,Jun 30th 2009,2,Sheamus,def. (pin),Oliver John
12087,Jun 30th 2009,3,Vladimir Kozlov & William Regal,def. (pin),Christian & Tommy Dreamer
12088,Jun 30th 2009,1,Edge,def.,C. M. Punk
12089,Jun 30th 2009,2,John Morrison,def.,Charlie Haas
12090,Jun 30th 2009,3,Zack Ryder,def.,Tyler Reks
12091,Jun 29th 2009,1,Chris Jericho & Edge,def. (pin),Carlito & Primo
12092,Jun 29th 2009,2,Gail Kim & Mickie James,def. (pin),Alicia Fox & Maryse
12093,Jun 29th 2009,3,Mark Henry,def. (CO),Cody Rhodes
12094,Jun 29th 2009,4,Randy Orton,def. (pin),"Ted DiBiase, Jr."
12095,Jun 29th 2009,5,Evan Bourne,def. (pin),Kofi Kingston
12096,Jun 29th 2009,6,Triple H,draw (NC),John Cena
12097,Jun 29th 2009,1,Triple H,def. (pin),Montel Vontavious Porter
12098,Jun 29th 2009,2,Chris Jericho (c) & Edge (c),def. (pin),Carlito & Primo
12099,Jun 29th 2009,3,John Cena,def. (sub),The Miz
12100,Jun 29th 2009,4,Mickie James,def. (pin),"Beth Phoenix, Kelly Kelly, Rosa Mendes"
12101,Jun 29th 2009,5,Kofi Kingston,draw (DCO),The Big Show
12102,Jun 29th 2009,6,Randy Orton,def. (pin),Evan Bourne
12103,Jun 29th 2009,7,Randy Orton,def. (CO),Jack Swagger
12104,Jun 29th 2009,8,Mark Henry,def. (pin),Randy Orton
12105,Jun 29th 2009,1,Hornswoggle,def.,Chavo Guerrero
12106,Jun 29th 2009,1,Santino Marella,def.,The Brian Kendrick
12107,Jun 28th 2009,1,Tommy Dreamer (c),def. (pin),"Christian, Finlay, Jack Swagger, Mark Henry"
12108,Jun 28th 2009,2,Rey Mysterio,def. (pin),Chris Jericho (c)
12109,Jun 28th 2009,3,Dolph Ziggler,def. (pin),The Great Khali
12110,Jun 28th 2009,4,Chris Jericho & Edge,def. (pin),"Carlito (c) & Primo (c), Cody Rhodes & Ted DiBiase, Jr."
12111,Jun 28th 2009,5,Michelle McCool,def. (pin),Melina (c)
12112,Jun 28th 2009,6,Jeff Hardy,def. (DQ),C. M. Punk (c)
12113,Jun 28th 2009,7,John Cena,def. (sub),The Miz
12114,Jun 28th 2009,8,Randy Orton (c),def.,Triple H
12115,Jun 23rd 2009,1,R-Truth,def. (pin),Shelton Benjamin
12116,Jun 23rd 2009,2,Alicia Fox & Michelle McCool,def.,Gail Kim & Melina
12117,Jun 23rd 2009,3,John Morrison,def.,C. M. Punk
12118,Jun 23rd 2009,4,Chris Jericho & Edge,def. (pin),Jeff Hardy & Rey Mysterio
12119,Jun 23rd 2009,1,Dolph Ziggler,def.,Jimmy Wang Yang
12120,Jun 23rd 2009,2,Jack Swagger,def.,Evan Bourne
12121,Jun 23rd 2009,1,Evan Bourne,def. (pin),Tyson Kidd
12122,Jun 23rd 2009,2,Finlay,def. (pin),Zack Ryder
12123,Jun 23rd 2009,3,Jack Swagger & Mark Henry,def. (pin),Christian & Tommy Dreamer
12124,Jun 22nd 2009,1,Jeff Hardy & Rey Mysterio & The Great Khali,def. (pin),Chris Jericho & Dolph Ziggler & Edge
12125,Jun 22nd 2009,2,Cody Rhodes,def. (pin),Primo
12126,Jun 22nd 2009,3,Randy Orton (c),draw (DTKO),Triple H
