,Name,Elo,Matches
806,Andy Leavine,1489.966957,1
739,Santino Claus,1489.934569,1
602,Flash Funk,1489.91701,1
646,Charles Robinson,1489.781429,1
559,Sean Alexander,1489.781392,1
316,Hiroko,1489.775496,1
759,Percy Watson,1489.734201,69
168,Pat Cusick,1489.733761,1
821,Pete Gibson,1489.56546,1
464,Mitch,1489.546005,7
601,Gangrel,1489.494798,1
741,Piggy James,1489.465284,1
358,Patrick Leizer,1489.430212,1
394,Sylvan,1489.311744,27
399,Koko B Ware,1489.217167,1
398,Greg Valentine,1489.152536,1
820,Jose Vargas,1489.120352,1
453,Mikey,1489.099629,25
580,Jason Myers,1489.076192,1
859,Rob Cabildo,1489.071881,1
600,Gillberg,1489.045085,1
24,D-Lo Brown,1488.919896,39
776,Carlos Sanchez,1488.780731,1
494,John McChesney,1488.707982,1
514,Ariel,1488.652622,5
818,Jody Kristofferson,1488.646251,1
833,Ken Doane,1488.604957,1
664,Ezekiel Jackson,1488.593012,117
599,Irwin R. Schyster,1488.566089,1
338,Melissa Coates,1488.545455,1
505,Donald Lamb,1488.472106,1
185,Brad Hunter,1488.435908,1
359,Phil Dorchester,1488.240686,1
817,Aaron James,1488.141386,1
490,Big Guido,1488.117769,1
832,Matthew Kaye,1488.097422,1
598,Jim Neidhart,1488.056042,1
856,Luke Hawkins,1488.05116,1
301,Danny Morrison,1488.047943,1
331,Seth Skyfire,1488.034077,1
550,Hamlet McBeth,1487.982926,1
730,David Hintz,1487.965693,1
403,Jason Partain,1487.94899,1
141,Mike Bucci,1487.92399,1
268,Rudy Cooper,1487.911534,1
228,Mike Toland,1487.790948,1
127,Ty Wheeler,1487.764172,1
480,Caden Matthews,1487.727606,1
816,Pat Silva,1487.604042,1
481,Seth James,1487.547099,1
597,Pete Gas,1487.513249,1
588,Aaron Aguilera,1487.496921,1
537,Ted Sweet,1487.463181,1
172,Matthew Evagirus,1487.398002,1
138,Jeff Starr,1487.372791,1
908,Mini-Gator,1487.366143,1
118,Andy Anderson,1487.290467,1
463,Rasheed Brown,1487.263192,1
569,Jeff Michaels,1487.258654,1
489,Tim Arson,1487.238535,1
143,American Dragon,1487.177464,1
62,Deacon Batista,1487.127729,7
259,Shinobi,1487.065388,1
815,Alex Silva,1487.032633,1
201,Mike Phoenix,1487.003053,1
360,Beard Blackwell,1487.001533,1
545,Viko Batomango,1486.995477,1
590,Mai Tai Anoa'i,1486.977339,1
400,Shawn Riddick,1486.948852,1
596,Repo Man,1486.93615,1
615,Wayne Kostyal,1486.922641,1
472,Tony Drake,1486.914403,1
206,Solo,1486.797147,1
508,Scott Fowler,1486.732036,1
315,Jerry Steel,1486.622868,1
513,Todd Smith,1486.612469,1
473,Chris Wellman,1486.539096,1
643,Matt Sydal,1486.445076,1
715,Slam Master J.,1486.431089,8
544,Cedric Von Haussen,1486.386363,1
374,Chad Patton,1486.31933,1
