SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsMeasurement,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Offensive ,Switch in EPA
2014,3,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,1,0,0,0,0,,11,OWN,0,,0,,0,KC,-4.34
2014,16,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,1,0,0,0,0,,14,OPP,0,,0,,0,JAC,-4.23
2014,13,SHOTGUN,PASS,0,1,1,0,"PASS RULING,",0,1,0,,0,1,0,0,0,0,,22,OWN,0,,0,,0,NYG,-3.77
2014,1,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,1,0,0,0,0,,12,OPP,0,,0,,0,OAK,-4.29
2014,32,UNDER CENTER,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,1,0,0,0,0,,20,OWN,0,,0,,0,CIN,-5.29
2014,23,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,1,0,0,0,0,,29,OWN,0,,0,,0,NO,-4.28
2014,3,SHOTGUN,PASS,0,1,1,0,"PASS RULING,",0,1,0,,0,1,0,0,0,0,,18,OWN,0,,0,,0,SF,-2.36
2014,9,SHOTGUN,PASS,0,1,1,0,"PASS RULING,",0,1,0,,0,1,0,0,0,0,,10,OPP,0,,0,,0,PIT,-4.22
2014,0,SHOTGUN,PASS,0,1,1,0,"PASS RULING,",0,1,0,,0,1,0,0,0,0,,19,OPP,0,,0,,0,DEN,-3.74
2014,0,SHOTGUN,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,1,0,0,0,0,,10,OWN,0,,0,,0,ATL,-2.24
2014,0,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,1,0,0,0,0,,19,OWN,0,,0,,0,OAK,-3.18
2014,18,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,1,0,0,0,0,,18,OWN,0,,0,,0,CLE,-5
2014,22,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,1,0,0,0,0,,25,OWN,0,,0,,0,NO,-3.83
2014,0,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,1,0,0,0,0,,10,OPP,0,,0,,0,CHI,-5.08
2014,30,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,1,0,0,0,0,,20,OWN,0,,0,,0,DEN,-5.08
2014,22,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,1,0,0,0,0,,25,OWN,0,,0,,0,OAK,-4.03
2014,10,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,1,0,0,0,0,,5,OPP,0,,0,,0,GB,-4.08
2014,0,UNDER CENTER,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,1,0,0,0,0,,9,OPP,0,,0,,0,CLE,-4.96
2014,5,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,1,0,,0,1,0,1,0,0,,20,OWN,0,BAL,0,OFFENSIVE HOLDING,0,BAL,-4
2014,28,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,1,0,0,0,0,,26,OWN,0,,0,,0,ATL,-2.54
2014,6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,1,0,0,0,0,,16,OWN,0,,0,,0,TB,-4.56
2014,30,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,1,0,0,0,0,,24,OWN,0,,0,,0,ARI,-4.79
2014,31,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,1,0,0,0,0,,29,OWN,0,,0,,0,CAR,-3.4
2014,34,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,1,0,0,0,0,,42,OWN,0,,0,,0,NYJ,-4.48
2014,26,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,1,0,0,0,0,,33,OWN,0,,0,,0,SD,-4.11
2014,19,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,1,0,0,0,0,,28,OWN,0,,0,,0,CAR,-4.71
2014,17,UNDER CENTER,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,1,0,0,0,0,,18,OWN,0,,0,,0,BAL,-2.48
2014,20,UNDER CENTER,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,1,0,0,0,0,,15,OPP,0,,0,,0,MIN,-4.65
2014,12,UNDER CENTER,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,1,0,0,0,0,,15,OPP,0,,0,,0,TB,-3.53
2014,10,UNDER CENTER,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,1,0,0,0,0,,17,OWN,0,,0,,0,NE,-3.59
2014,0,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,1,0,1,0,0,,19,OWN,0,SD,0,OFFENSIVE HOLDING,0,SD,-4.16
2014,18,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,1,0,0,0,0,,30,OWN,0,,0,,0,TB,-4.89
2014,13,UNDER CENTER,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,1,0,0,0,0,,14,OWN,0,,0,,0,SEA,-4.18
2014,0,NO HUDDLE SHOTGUN,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,1,0,0,0,0,,8,OWN,0,,0,,0,PHI,-2.57
2014,9,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,1,0,0,0,0,,18,OWN,0,,0,,0,DAL,-4.59
2014,0,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,1,0,0,0,0,,18,OPP,0,,0,,0,NE,-3.2
2014,3,UNDER CENTER,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,1,0,0,0,0,,2,OWN,0,,0,,0,WAS,-1.87
2014,10,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,1,0,0,0,0,,22,OWN,0,,0,,0,MIN,-4.11
2014,34,UNDER CENTER,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,1,0,0,0,0,,25,OWN,0,,0,,0,NE,-4.96
2014,17,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,1,0,0,0,0,,14,OPP,0,,0,,0,ARI,-4.86
2014,0,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,1,0,0,0,0,,27,OPP,0,,0,,0,NYJ,-3.08
2014,1,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,1,0,0,0,0,,10,OWN,0,,0,,0,ATL,-2.63
2014,9,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,1,0,0,0,0,,20,OWN,0,,0,,0,CHI,-3.72
2014,37,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,1,0,0,0,0,,35,OWN,0,,0,,0,MIA,-6.28
2014,18,UNDER CENTER,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,1,0,0,0,0,,16,OWN,0,,0,,0,NYG,-4.31
2014,12,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,1,0,0,0,0,,26,OWN,0,,0,,0,BAL,-4.47
2014,25,UNDER CENTER,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,1,0,0,0,0,,23,OWN,0,,0,,0,TEN,-4.23
2014,6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,1,0,0,0,0,,28,OWN,0,,0,,0,JAC,-3.33
2014,11,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,1,0,0,0,0,,24,OWN,0,,0,,0,WAS,-3.98
2014,81,UNDER CENTER,PASS,0,1,0,1,SHORT LEFT,0,0,0,,0,1,0,0,0,0,,23,OPP,0,,0,,0,STL,-10.12
2014,12,SHOTGUN,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,1,0,1,0,0,,18,OPP,1,NYJ,0,UNNECESSARY ROUGHNESS,15,NYJ,-4.55
2014,8,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,1,0,0,0,0,,24,OWN,0,,0,,0,IND,-4.43
2014,14,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,1,0,0,0,0,,21,OPP,0,,0,,0,ATL,-4.18
2014,81,SHOTGUN,PASS,0,1,0,1,INTENDED FOR,0,0,0,,0,1,0,0,0,0,,28,OPP,0,,0,,0,JAC,-10.17
2014,15,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,1,0,0,0,0,,30,OWN,0,,0,,0,CIN,-4.6
2014,0,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,1,0,0,0,0,,20,OWN,0,,0,,0,HOU,-4.48
2014,5,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,1,0,0,0,0,,20,OPP,0,,0,,0,DAL,-3.19
2014,6,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,1,0,0,0,0,,14,OPP,0,,0,,0,JAC,-3.55
2014,7,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,1,0,0,0,0,,16,OPP,0,,0,,0,PHI,-4.91
2014,0,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,1,0,0,0,0,,12,OWN,0,,0,,0,MIN,-3.52
2014,0,UNDER CENTER,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,1,0,0,0,0,,20,OPP,0,,0,,0,CIN,-4.4
2014,20,NO HUDDLE,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,1,0,0,0,0,,24,OWN,0,,0,,0,CLE,-4.3
2014,45,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,1,0,1,0,0,,43,OWN,1,CHI,0,ILLEGAL USE OF HANDS,8,CHI,-6.97
2014,1,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,1,0,0,0,0,,19,OWN,0,,0,,0,NE,-2.95
2014,0,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,1,0,0,0,0,,7,OPP,0,,0,,0,BUF,-4.34
